SHA1,Commit_date,Author,LOC,SLOC,Issues_number,Branch_name,SCM,Date,Date1
83abb68c7ff5716d2ccbb576e79acefa00b0273e,1372875283,droy,2,0,1,refs/heads/mkeller/testing,GIT,13-Jul,2013-07-03
409462bc339e971281fd3d01a36a02a1295c348b,1372773905,Markus Keller,6,1,0,master,GIT,13-Jul,2013-07-02
a81cebacbf0361dd2d01e385028159c4776d8b43,1372773898,Thirumala Reddy Mutchukota,73,73,1,master,GIT,13-Jul,2013-07-02
a8d9f126228148d76f67078eaac3e3ee48e11b6e,1372773894,Noopur Gupta,67,67,1,master,GIT,13-Jul,2013-07-02
b7813b6bd88f74200679f5bef584c4b4895f5467,1372761510,Markus Keller,30,0,0,master,GIT,13-Jul,2013-07-02
f10b01ba397b72bca83ce6e8832888997db0fa92,1372258802,Markus Keller,16,0,1,master,GIT,13-Jun,2013-06-26
9b6f448a9d4ebac136399aae1506a3adbe913a35,1372244641,Dani Megert,20,0,1,master,GIT,13-Jun,2013-06-26
25f6fa1a7ebf29cad054ce9a6bc02ce430a9dfb0,1372238770,Dani Megert,11,11,1,master,GIT,13-Jun,2013-06-26
68906597e0b2e7bab42767bb4d21b85794e3634c,1372227137,Noopur Gupta,33,33,1,refs/heads/BETA_JAVA8,GIT,13-Jun,2013-06-25
b5d624f1845fb6bff7f13342aa09670074aa22ed,1372161471,Dani Megert,10,10,1,master,GIT,13-Jun,2013-06-25
95a429c87e11d9f532ec6d0ef68c3d442f81a499,1371786870,Manju Mathew,7,7,1,master,GIT,13-Jun,2013-06-20
a2ac6a98bd5c1c7f44d551e7bc1c9431412d831c,1371736488,Dani Megert,1,0,1,master,GIT,13-Jun,2013-06-20
9a7c42ae635d04d9f3e7d88e63fc12c52e64edab,1371734437,Dani Megert,6,6,1,master,GIT,13-Jun,2013-06-20
48580acf87540b39b9363595fe6782842434f7b2,1371733777,Dani Megert,4,4,1,master,GIT,13-Jun,2013-06-20
2d191319dbd3f22e43a2ea50c2bd0c31ffde278a,1371733538,Dani Megert,4,4,1,master,GIT,13-Jun,2013-06-20
3969b419201db89064520e2f18c8fcd7fe24d44e,1371732768,Dani Megert,1,1,1,master,GIT,13-Jun,2013-06-20
e9b50d9fdf16dd85521de513040201c9bdf47eba,1371716530,Manju Mathew,2,0,0,master,GIT,13-Jun,2013-06-20
40544c1d88171a8fbe67d79a86575afa8004bc53,1371715049,Dani Megert,4,0,0,master,GIT,13-Jun,2013-06-20
16ee663449e453731b9ec732fd5466cb067446aa,1371713027,Dani Megert,1,1,1,master,GIT,13-Jun,2013-06-20
b3dbf432e08989481681d7518ee591ffdc26fcef,1371712966,Dani Megert,1,0,1,master,GIT,13-Jun,2013-06-20
3eb33f82538442544fc90fdbf902b8de4f4986f8,1371705706,Manju Mathew,1,1,1,master,GIT,13-Jun,2013-06-19
35ccae0f97548983cd7bc772078bfea47d50ec47,1371124688,Noopur Gupta,160,160,1,refs/heads/BETA_JAVA8,GIT,13-Jun,2013-06-13
73a81a90b73ed308fb0320ae936432fea9c1e158,1370888958,Markus Keller,4,4,1,refs/heads/BETA_JAVA8,GIT,13-Jun,2013-06-10
3a7a81fc03ee953fa63c7aceaff7932c8fc68032,1370506461,Manju Mathew,7,7,1,master,GIT,13-Jun,2013-06-06
9b262e7bdef637ab41f7b00ec5e19e435fd01635,1370506454,Manju Mathew,2,0,1,master,GIT,13-Jun,2013-06-06
b1685b025876ed72aedfc8c7af59129b19055e7d,1370454510,Markus Keller,163,0,1,master,GIT,13-Jun,2013-06-05
b1685b025876ed72aedfc8c7af59129b19055e7d,1370454510,Markus Keller,163,0,1,master,GIT,13-Jun,2013-06-05
ba1353abd4c1954150f73ef66764d2e3badfed42,1370342533,Noopur Gupta,20,0,1,refs/heads/BETA_JAVA8,GIT,13-Jun,2013-06-04
0ac85d526d67ab00390c45fd46510e10c157ba19,1370268182,Markus Keller,4,4,1,master,GIT,13-Jun,2013-06-03
0ac85d526d67ab00390c45fd46510e10c157ba19,1370268182,Markus Keller,4,4,1,master,GIT,13-Jun,2013-06-03
8029c94ba8f0cb368deb09e3b2f19467d14ad8ed,1370267931,Markus Keller,35,35,1,master,GIT,13-Jun,2013-06-03
df8e13d0538715a29e0dfacb9ebed218768949db,1369836927,Markus Keller,0,0,0,master,GIT,13-May,2013-05-29
4fc272a117b65b419fab3e20439e992f8167053f,1369836771,Markus Keller,20,20,1,master,GIT,13-May,2013-05-29
73d67a32960c70a9f4c8c124b927566bbb4db298,1369728503,Dani Megert,0,0,0,master,GIT,13-May,2013-05-28
5b86a73568cdfaf0216586f2ddbda6b6524280ab,1369649429,Dani Megert,2,0,0,master,GIT,13-May,2013-05-27
d22f7cb3bbdb14cbdb1b10117fb46ba704346df8,1369236445,Markus Keller,0,0,0,refs/heads/dmegert/Manju/packageDoc,GIT,13-May,2013-05-22
c88048787bc4da7383cf9312520a59cc1619d909,1369148810,Markus Keller,7,7,1,master,GIT,13-May,2013-05-21
a0f013e697405dc12a34ea39752fa3fbaed64ba0,1369148505,Manju Mathew,7,7,1,master,GIT,13-May,2013-05-21
72eff3028fedfe989d71fc4ea780d8ce33fd4ddf,1368648194,Dani Megert,0,0,0,master,GIT,13-May,2013-05-15
6836a991407904816719d84dea858bfab6337f32,1368545532,Markus Keller,3,3,1,master,GIT,13-May,2013-05-14
92914ba77676065c8ac13abce98f89b88fe957a9,1368532473,Markus Keller,5,5,1,master,GIT,13-May,2013-05-14
d4a1981684d1e25964bdb632609f9aa7028f70bd,1368455247,Dani Megert,7,7,0,master,GIT,13-May,2013-05-13
